Time: 2024-05-12 10:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 330.7, 'Long wave outgoing solar radiation': 416.2, 'Global radiation': 460.9, 'Direct solar radiation': 38.5, 'Reflected radiation': 101.3, 'Sunshine duration': 0.0, 'Diffuse radiation': 461.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.8}
Time: 2024-05-12 10:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 320.7, 'Long wave outgoing solar radiation': 440.2, 'Global radiation': 610.2, 'Direct solar radiation': 143.3, 'Reflected radiation': 128.8, 'Sunshine duration': 40.0, 'Diffuse radiation': 448.3, 'Radiation balance': nan, 'Ultraviolet irradiance': 3.2}
Time: 2024-05-12 10:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 345.2, 'Long wave outgoing solar radiation': 426.4, 'Global radiation': 425.7, 'Direct solar radiation': 17.7, 'Reflected radiation': 96.2, 'Sunshine duration': 0.0, 'Diffuse radiation': 448.2, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.5}
Time: 2024-05-12 11:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 346.9, 'Long wave outgoing solar radiation': 420.7, 'Global radiation': 392.7, 'Direct solar radiation': 11.7, 'Reflected radiation': 85.6, 'Sunshine duration': 0.0, 'Diffuse radiation': 412.1, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.4}
Time: 2024-05-12 11:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 350.5, 'Long wave outgoing solar radiation': 417.4, 'Global radiation': 353.8, 'Direct solar radiation': 9.9, 'Reflected radiation': 78.2, 'Sunshine duration': 0.0, 'Diffuse radiation': 375.3, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.1}
Time: 2024-05-12 11:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 343.5, 'Long wave outgoing solar radiation': 416.5, 'Global radiation': 464.2, 'Direct solar radiation': 26.3, 'Reflected radiation': 93.4, 'Sunshine duration': 0.0, 'Diffuse radiation': 444.4, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.5}
Time: 2024-05-12 11:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 336.5, 'Long wave outgoing solar radiation': 429.2, 'Global radiation': 494.6, 'Direct solar radiation': 83.0, 'Reflected radiation': 106.6, 'Sunshine duration': 0.0, 'Diffuse radiation': 457.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.6}
Time: 2024-05-12 12:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 341.1, 'Long wave outgoing solar radiation': 434.3, 'Global radiation': 573.4, 'Direct solar radiation': 186.6, 'Reflected radiation': 119.6, 'Sunshine duration': 60.0, 'Diffuse radiation': 459.6, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.7}
Time: 2024-05-12 12:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 336.4, 'Long wave outgoing solar radiation': 433.3, 'Global radiation': 515.5, 'Direct solar radiation': 91.6, 'Reflected radiation': 110.8, 'Sunshine duration': 5.0, 'Diffuse radiation': 468.6, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.5}
Time: 2024-05-12 12:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 337.9, 'Long wave outgoing solar radiation': 436.1, 'Global radiation': 503.6, 'Direct solar radiation': 209.5, 'Reflected radiation': 114.5, 'Sunshine duration': 60.0, 'Diffuse radiation': 413.1, 'Radiation balance': nan, 'Ultraviolet irradiance': 2.4}
Time: 2024-05-12 12:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 347.7, 'Long wave outgoing solar radiation': 417.6, 'Global radiation': 347.1, 'Direct solar radiation': 1.9, 'Reflected radiation': 75.4, 'Sunshine duration': 0.0, 'Diffuse radiation': 360.1, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.7}
